Timesteps,Mean Reward,Algorithm,Seed
8192,1664.0169677734375,CGA-PPO (Proposed),seed_101_1
16384,1673.591552734375,CGA-PPO (Proposed),seed_101_1
24576,1681.32763671875,CGA-PPO (Proposed),seed_101_1
32768,1689.34814453125,CGA-PPO (Proposed),seed_101_1
40960,1696.82080078125,CGA-PPO (Proposed),seed_101_1
49152,1703.6143798828125,CGA-PPO (Proposed),seed_101_1
57344,1710.9967041015625,CGA-PPO (Proposed),seed_101_1
65536,1716.336669921875,CGA-PPO (Proposed),seed_101_1
73728,1721.8101806640625,CGA-PPO (Proposed),seed_101_1
81920,1726.3021240234375,CGA-PPO (Proposed),seed_101_1
90112,1730.748779296875,CGA-PPO (Proposed),seed_101_1
98304,1735.024658203125,CGA-PPO (Proposed),seed_101_1
106496,1741.8175048828125,CGA-PPO (Proposed),seed_101_1
114688,1751.3251953125,CGA-PPO (Proposed),seed_101_1
122880,1759.479736328125,CGA-PPO (Proposed),seed_101_1
131072,1767.3028564453125,CGA-PPO (Proposed),seed_101_1
139264,1774.2275390625,CGA-PPO (Proposed),seed_101_1
147456,1780.1160888671875,CGA-PPO (Proposed),seed_101_1
155648,1785.94921875,CGA-PPO (Proposed),seed_101_1
163840,1790.768310546875,CGA-PPO (Proposed),seed_101_1
172032,1797.499267578125,CGA-PPO (Proposed),seed_101_1
180224,1801.279296875,CGA-PPO (Proposed),seed_101_1
188416,1804.5093994140625,CGA-PPO (Proposed),seed_101_1
196608,1807.42236328125,CGA-PPO (Proposed),seed_101_1
204800,1810.5650634765625,CGA-PPO (Proposed),seed_101_1
8192,1664.0169677734375,CGA-PPO (Proposed),seed_101_2
16384,1673.591552734375,CGA-PPO (Proposed),seed_101_2
24576,1681.32763671875,CGA-PPO (Proposed),seed_101_2
32768,1689.34814453125,CGA-PPO (Proposed),seed_101_2
40960,1696.82080078125,CGA-PPO (Proposed),seed_101_2
49152,1703.6143798828125,CGA-PPO (Proposed),seed_101_2
57344,1710.9967041015625,CGA-PPO (Proposed),seed_101_2
65536,1716.336669921875,CGA-PPO (Proposed),seed_101_2
73728,1721.8101806640625,CGA-PPO (Proposed),seed_101_2
81920,1726.3021240234375,CGA-PPO (Proposed),seed_101_2
90112,1730.748779296875,CGA-PPO (Proposed),seed_101_2
98304,1735.024658203125,CGA-PPO (Proposed),seed_101_2
106496,1741.8175048828125,CGA-PPO (Proposed),seed_101_2
114688,1751.3251953125,CGA-PPO (Proposed),seed_101_2
122880,1759.479736328125,CGA-PPO (Proposed),seed_101_2
131072,1767.3028564453125,CGA-PPO (Proposed),seed_101_2
139264,1774.2275390625,CGA-PPO (Proposed),seed_101_2
147456,1780.1160888671875,CGA-PPO (Proposed),seed_101_2
155648,1785.94921875,CGA-PPO (Proposed),seed_101_2
163840,1790.768310546875,CGA-PPO (Proposed),seed_101_2
172032,1797.499267578125,CGA-PPO (Proposed),seed_101_2
180224,1801.279296875,CGA-PPO (Proposed),seed_101_2
188416,1804.5093994140625,CGA-PPO (Proposed),seed_101_2
196608,1807.42236328125,CGA-PPO (Proposed),seed_101_2
204800,1810.5650634765625,CGA-PPO (Proposed),seed_101_2
8192,1661.357421875,CGA-PPO (Proposed),seed_103_1
16384,1675.8541259765625,CGA-PPO (Proposed),seed_103_1
24576,1683.39892578125,CGA-PPO (Proposed),seed_103_1
32768,1692.125732421875,CGA-PPO (Proposed),seed_103_1
40960,1700.09814453125,CGA-PPO (Proposed),seed_103_1
49152,1706.9677734375,CGA-PPO (Proposed),seed_103_1
57344,1712.2674560546875,CGA-PPO (Proposed),seed_103_1
65536,1717.3974609375,CGA-PPO (Proposed),seed_103_1
73728,1722.5091552734375,CGA-PPO (Proposed),seed_103_1
81920,1727.672607421875,CGA-PPO (Proposed),seed_103_1
90112,1731.920166015625,CGA-PPO (Proposed),seed_103_1
98304,1736.2645263671875,CGA-PPO (Proposed),seed_103_1
106496,1742.9722900390625,CGA-PPO (Proposed),seed_103_1
114688,1751.815185546875,CGA-PPO (Proposed),seed_103_1
122880,1759.121826171875,CGA-PPO (Proposed),seed_103_1
131072,1765.317138671875,CGA-PPO (Proposed),seed_103_1
139264,1770.1962890625,CGA-PPO (Proposed),seed_103_1
147456,1774.390625,CGA-PPO (Proposed),seed_103_1
155648,1778.3782958984375,CGA-PPO (Proposed),seed_103_1
163840,1782.0391845703125,CGA-PPO (Proposed),seed_103_1
172032,1786.565185546875,CGA-PPO (Proposed),seed_103_1
180224,1788.4151611328125,CGA-PPO (Proposed),seed_103_1
188416,1790.255126953125,CGA-PPO (Proposed),seed_103_1
196608,1791.45703125,CGA-PPO (Proposed),seed_103_1
204800,1792.8187255859375,CGA-PPO (Proposed),seed_103_1
8192,1660.0794677734375,CGA-PPO (Proposed),seed_201_1
16384,1673.0648193359375,CGA-PPO (Proposed),seed_201_1
24576,1682.4610595703125,CGA-PPO (Proposed),seed_201_1
32768,1689.482177734375,CGA-PPO (Proposed),seed_201_1
40960,1697.683349609375,CGA-PPO (Proposed),seed_201_1
49152,1705.2021484375,CGA-PPO (Proposed),seed_201_1
57344,1712.03271484375,CGA-PPO (Proposed),seed_201_1
65536,1717.0015869140625,CGA-PPO (Proposed),seed_201_1
73728,1722.3582763671875,CGA-PPO (Proposed),seed_201_1
81920,1726.6746826171875,CGA-PPO (Proposed),seed_201_1
90112,1730.60986328125,CGA-PPO (Proposed),seed_201_1
98304,1734.1885986328125,CGA-PPO (Proposed),seed_201_1
106496,1740.5440673828125,CGA-PPO (Proposed),seed_201_1
114688,1749.452392578125,CGA-PPO (Proposed),seed_201_1
122880,1756.3961181640625,CGA-PPO (Proposed),seed_201_1
131072,1762.5343017578125,CGA-PPO (Proposed),seed_201_1
139264,1768.115478515625,CGA-PPO (Proposed),seed_201_1
147456,1772.69189453125,CGA-PPO (Proposed),seed_201_1
155648,1776.863037109375,CGA-PPO (Proposed),seed_201_1
163840,1780.9266357421875,CGA-PPO (Proposed),seed_201_1
172032,1786.520751953125,CGA-PPO (Proposed),seed_201_1
180224,1790.033447265625,CGA-PPO (Proposed),seed_201_1
188416,1793.4105224609375,CGA-PPO (Proposed),seed_201_1
196608,1796.754638671875,CGA-PPO (Proposed),seed_201_1
204800,1800.25830078125,CGA-PPO (Proposed),seed_201_1
8192,1662.8089599609375,CGA-PPO (Proposed),seed_102_1
16384,1673.003662109375,CGA-PPO (Proposed),seed_102_1
24576,1685.65234375,CGA-PPO (Proposed),seed_102_1
32768,1696.87841796875,CGA-PPO (Proposed),seed_102_1
40960,1704.6500244140625,CGA-PPO (Proposed),seed_102_1
49152,1711.148193359375,CGA-PPO (Proposed),seed_102_1
57344,1717.5770263671875,CGA-PPO (Proposed),seed_102_1
65536,1722.3941650390625,CGA-PPO (Proposed),seed_102_1
73728,1727.6856689453125,CGA-PPO (Proposed),seed_102_1
81920,1732.2003173828125,CGA-PPO (Proposed),seed_102_1
90112,1736.7381591796875,CGA-PPO (Proposed),seed_102_1
98304,1740.9632568359375,CGA-PPO (Proposed),seed_102_1
106496,1748.13916015625,CGA-PPO (Proposed),seed_102_1
114688,1757.6793212890625,CGA-PPO (Proposed),seed_102_1
122880,1765.6302490234375,CGA-PPO (Proposed),seed_102_1
131072,1772.2117919921875,CGA-PPO (Proposed),seed_102_1
139264,1777.8489990234375,CGA-PPO (Proposed),seed_102_1
147456,1783.1151123046875,CGA-PPO (Proposed),seed_102_1
155648,1787.7684326171875,CGA-PPO (Proposed),seed_102_1
163840,1792.1407470703125,CGA-PPO (Proposed),seed_102_1
172032,1797.719482421875,CGA-PPO (Proposed),seed_102_1
180224,1800.818603515625,CGA-PPO (Proposed),seed_102_1
188416,1803.5240478515625,CGA-PPO (Proposed),seed_102_1
196608,1805.650634765625,CGA-PPO (Proposed),seed_102_1
204800,1807.5589599609375,CGA-PPO (Proposed),seed_102_1
8192,1665.02392578125,CGA-PPO (Proposed),seed_202_1
16384,1677.8089599609375,CGA-PPO (Proposed),seed_202_1
24576,1685.534912109375,CGA-PPO (Proposed),seed_202_1
32768,1690.8536376953125,CGA-PPO (Proposed),seed_202_1
40960,1696.7393798828125,CGA-PPO (Proposed),seed_202_1
49152,1700.951416015625,CGA-PPO (Proposed),seed_202_1
57344,1704.993896484375,CGA-PPO (Proposed),seed_202_1
65536,1709.021728515625,CGA-PPO (Proposed),seed_202_1
73728,1713.514892578125,CGA-PPO (Proposed),seed_202_1
81920,1717.9915771484375,CGA-PPO (Proposed),seed_202_1
90112,1722.732177734375,CGA-PPO (Proposed),seed_202_1
98304,1727.4427490234375,CGA-PPO (Proposed),seed_202_1
106496,1734.2208251953125,CGA-PPO (Proposed),seed_202_1
114688,1743.07763671875,CGA-PPO (Proposed),seed_202_1
122880,1750.88623046875,CGA-PPO (Proposed),seed_202_1
131072,1757.9967041015625,CGA-PPO (Proposed),seed_202_1
139264,1764.88427734375,CGA-PPO (Proposed),seed_202_1
147456,1771.3194580078125,CGA-PPO (Proposed),seed_202_1
155648,1777.2281494140625,CGA-PPO (Proposed),seed_202_1
163840,1782.886962890625,CGA-PPO (Proposed),seed_202_1
172032,1790.3955078125,CGA-PPO (Proposed),seed_202_1
180224,1794.38525390625,CGA-PPO (Proposed),seed_202_1
188416,1797.96630859375,CGA-PPO (Proposed),seed_202_1
196608,1801.182861328125,CGA-PPO (Proposed),seed_202_1
204800,1804.7596435546875,CGA-PPO (Proposed),seed_202_1
8192,1662.9339599609375,XYZ-PPO (Baseline),seed_101_1
16384,1673.6583251953125,XYZ-PPO (Baseline),seed_101_1
24576,1683.44775390625,XYZ-PPO (Baseline),seed_101_1
32768,1690.825439453125,XYZ-PPO (Baseline),seed_101_1
40960,1697.8968505859375,XYZ-PPO (Baseline),seed_101_1
49152,1703.8912353515625,XYZ-PPO (Baseline),seed_101_1
57344,1711.5311279296875,XYZ-PPO (Baseline),seed_101_1
65536,1717.9696044921875,XYZ-PPO (Baseline),seed_101_1
73728,1724.3265380859375,XYZ-PPO (Baseline),seed_101_1
81920,1729.516357421875,XYZ-PPO (Baseline),seed_101_1
90112,1734.624267578125,XYZ-PPO (Baseline),seed_101_1
98304,1739.1661376953125,XYZ-PPO (Baseline),seed_101_1
106496,1746.1962890625,XYZ-PPO (Baseline),seed_101_1
114688,1756.4085693359375,XYZ-PPO (Baseline),seed_101_1
122880,1765.046142578125,XYZ-PPO (Baseline),seed_101_1
131072,1773.8963623046875,XYZ-PPO (Baseline),seed_101_1
139264,1782.5540771484375,XYZ-PPO (Baseline),seed_101_1
147456,1790.6968994140625,XYZ-PPO (Baseline),seed_101_1
155648,1798.6417236328125,XYZ-PPO (Baseline),seed_101_1
163840,1804.92822265625,XYZ-PPO (Baseline),seed_101_1
172032,1814.5015869140625,XYZ-PPO (Baseline),seed_101_1
180224,1820.8809814453125,XYZ-PPO (Baseline),seed_101_1
188416,1826.7392578125,XYZ-PPO (Baseline),seed_101_1
196608,1832.6475830078125,XYZ-PPO (Baseline),seed_101_1
204800,1838.96630859375,XYZ-PPO (Baseline),seed_101_1
8192,1661.79931640625,XYZ-PPO (Baseline),seed_103_1
16384,1676.3380126953125,XYZ-PPO (Baseline),seed_103_1
24576,1684.3546142578125,XYZ-PPO (Baseline),seed_103_1
32768,1694.6844482421875,XYZ-PPO (Baseline),seed_103_1
40960,1703.5382080078125,XYZ-PPO (Baseline),seed_103_1
49152,1711.130615234375,XYZ-PPO (Baseline),seed_103_1
57344,1717.044677734375,XYZ-PPO (Baseline),seed_103_1
65536,1722.9840087890625,XYZ-PPO (Baseline),seed_103_1
73728,1728.0037841796875,XYZ-PPO (Baseline),seed_103_1
81920,1732.863525390625,XYZ-PPO (Baseline),seed_103_1
90112,1737.0723876953125,XYZ-PPO (Baseline),seed_103_1
98304,1741.16552734375,XYZ-PPO (Baseline),seed_103_1
106496,1748.210693359375,XYZ-PPO (Baseline),seed_103_1
114688,1757.6197509765625,XYZ-PPO (Baseline),seed_103_1
122880,1765.9039306640625,XYZ-PPO (Baseline),seed_103_1
131072,1773.193359375,XYZ-PPO (Baseline),seed_103_1
139264,1779.0440673828125,XYZ-PPO (Baseline),seed_103_1
147456,1784.819091796875,XYZ-PPO (Baseline),seed_103_1
155648,1789.90234375,XYZ-PPO (Baseline),seed_103_1
163840,1794.836669921875,XYZ-PPO (Baseline),seed_103_1
172032,1801.3798828125,XYZ-PPO (Baseline),seed_103_1
180224,1805.9124755859375,XYZ-PPO (Baseline),seed_103_1
188416,1810.7021484375,XYZ-PPO (Baseline),seed_103_1
196608,1815.8492431640625,XYZ-PPO (Baseline),seed_103_1
204800,1821.5545654296875,XYZ-PPO (Baseline),seed_103_1
8192,1661.1494140625,XYZ-PPO (Baseline),seed_201_1
16384,1674.11474609375,XYZ-PPO (Baseline),seed_201_1
24576,1683.620361328125,XYZ-PPO (Baseline),seed_201_1
32768,1689.815185546875,XYZ-PPO (Baseline),seed_201_1
40960,1698.1640625,XYZ-PPO (Baseline),seed_201_1
49152,1704.412841796875,XYZ-PPO (Baseline),seed_201_1
57344,1711.286376953125,XYZ-PPO (Baseline),seed_201_1
65536,1716.2503662109375,XYZ-PPO (Baseline),seed_201_1
73728,1721.429443359375,XYZ-PPO (Baseline),seed_201_1
81920,1725.6085205078125,XYZ-PPO (Baseline),seed_201_1
90112,1729.2696533203125,XYZ-PPO (Baseline),seed_201_1
98304,1732.787841796875,XYZ-PPO (Baseline),seed_201_1
106496,1739.05224609375,XYZ-PPO (Baseline),seed_201_1
114688,1747.789306640625,XYZ-PPO (Baseline),seed_201_1
122880,1754.9208984375,XYZ-PPO (Baseline),seed_201_1
131072,1761.14013671875,XYZ-PPO (Baseline),seed_201_1
139264,1766.4947509765625,XYZ-PPO (Baseline),seed_201_1
147456,1770.8475341796875,XYZ-PPO (Baseline),seed_201_1
155648,1774.6373291015625,XYZ-PPO (Baseline),seed_201_1
163840,1778.1785888671875,XYZ-PPO (Baseline),seed_201_1
172032,1782.9755859375,XYZ-PPO (Baseline),seed_201_1
180224,1786.204345703125,XYZ-PPO (Baseline),seed_201_1
188416,1789.440185546875,XYZ-PPO (Baseline),seed_201_1
196608,1792.5877685546875,XYZ-PPO (Baseline),seed_201_1
204800,1795.6832275390625,XYZ-PPO (Baseline),seed_201_1
8192,1662.7196044921875,XYZ-PPO (Baseline),seed_102_1
16384,1674.01318359375,XYZ-PPO (Baseline),seed_102_1
24576,1685.35205078125,XYZ-PPO (Baseline),seed_102_1
32768,1696.171142578125,XYZ-PPO (Baseline),seed_102_1
40960,1702.5718994140625,XYZ-PPO (Baseline),seed_102_1
49152,1708.7806396484375,XYZ-PPO (Baseline),seed_102_1
57344,1714.9698486328125,XYZ-PPO (Baseline),seed_102_1
65536,1719.8629150390625,XYZ-PPO (Baseline),seed_102_1
73728,1725.01953125,XYZ-PPO (Baseline),seed_102_1
81920,1729.2276611328125,XYZ-PPO (Baseline),seed_102_1
90112,1733.8338623046875,XYZ-PPO (Baseline),seed_102_1
98304,1738.2762451171875,XYZ-PPO (Baseline),seed_102_1
106496,1745.08349609375,XYZ-PPO (Baseline),seed_102_1
114688,1754.045654296875,XYZ-PPO (Baseline),seed_102_1
122880,1761.5086669921875,XYZ-PPO (Baseline),seed_102_1
131072,1767.8173828125,XYZ-PPO (Baseline),seed_102_1
139264,1773.3697509765625,XYZ-PPO (Baseline),seed_102_1
147456,1778.2960205078125,XYZ-PPO (Baseline),seed_102_1
155648,1782.471435546875,XYZ-PPO (Baseline),seed_102_1
163840,1786.0213623046875,XYZ-PPO (Baseline),seed_102_1
172032,1790.6119384765625,XYZ-PPO (Baseline),seed_102_1
180224,1793.35546875,XYZ-PPO (Baseline),seed_102_1
188416,1794.9052734375,XYZ-PPO (Baseline),seed_102_1
196608,1796.0736083984375,XYZ-PPO (Baseline),seed_102_1
204800,1797.8857421875,XYZ-PPO (Baseline),seed_102_1
8192,1665.1895751953125,XYZ-PPO (Baseline),seed_202_1
16384,1677.8707275390625,XYZ-PPO (Baseline),seed_202_1
24576,1686.5067138671875,XYZ-PPO (Baseline),seed_202_1
32768,1696.01953125,XYZ-PPO (Baseline),seed_202_1
40960,1704.117919921875,XYZ-PPO (Baseline),seed_202_1
49152,1709.788818359375,XYZ-PPO (Baseline),seed_202_1
57344,1714.7945556640625,XYZ-PPO (Baseline),seed_202_1
65536,1719.61962890625,XYZ-PPO (Baseline),seed_202_1
73728,1725.162841796875,XYZ-PPO (Baseline),seed_202_1
81920,1730.2259521484375,XYZ-PPO (Baseline),seed_202_1
90112,1735.5208740234375,XYZ-PPO (Baseline),seed_202_1
98304,1741.0843505859375,XYZ-PPO (Baseline),seed_202_1
106496,1749.8089599609375,XYZ-PPO (Baseline),seed_202_1
114688,1761.74169921875,XYZ-PPO (Baseline),seed_202_1
122880,1773.1197509765625,XYZ-PPO (Baseline),seed_202_1
131072,1783.0596923828125,XYZ-PPO (Baseline),seed_202_1
139264,1793.1307373046875,XYZ-PPO (Baseline),seed_202_1
147456,1802.8642578125,XYZ-PPO (Baseline),seed_202_1
155648,1812.68603515625,XYZ-PPO (Baseline),seed_202_1
163840,1822.7508544921875,XYZ-PPO (Baseline),seed_202_1
172032,1837.09033203125,XYZ-PPO (Baseline),seed_202_1
180224,1846.3558349609375,XYZ-PPO (Baseline),seed_202_1
188416,1855.4783935546875,XYZ-PPO (Baseline),seed_202_1
196608,1863.704345703125,XYZ-PPO (Baseline),seed_202_1
204800,1871.3035888671875,XYZ-PPO (Baseline),seed_202_1
